,pvals_adj,logfcs,names,is_de
401,1.3260553926435776e-06,2.0248522758483887,yhbU,1
492,3.6834638815569887e-06,2.0180091857910156,glnK,1
384,1.0258169649761482e-06,2.017787218093872,ypfM,1
458,2.4080958908333656e-06,-2.017409563064575,yjiY,1
282,2.435918119323162e-07,-2.01171875,fecC,1
331,5.666018166162707e-07,1.9961334466934204,wcaF,1
214,7.457565158162327e-08,1.9918957948684692,fliG,1
528,5.9908901520281464e-06,-1.9897249937057495,yodB,1
256,1.6788938006279254e-07,1.9851932525634766,frdA,1
114,6.121735571950821e-09,1.9807130098342896,fliI,1
447,1.9980554792695364e-06,1.9746830463409424,nrfA,1
103,4.509611066418203e-09,1.9711347818374634,ymgG,1
278,2.317606038629655e-07,1.9414151906967163,fliO,1
512,5.359430280889154e-06,1.9244741201400757,ttdR,1
119,6.635244333406632e-09,1.922508955001831,treB,1
22,1.181336923639604e-09,1.9046252965927124,gntK,1
197,4.7585700925459196e-08,1.8853321075439453,bssR,1
335,5.866922188922153e-07,1.869028925895691,napG,1
411,1.4582014316178403e-06,1.8639202117919922,ynfO,1
98,4.509611066418203e-09,-1.8636964559555054,greB,1
141,1.1319212558970282e-08,1.8590954542160034,tnaA,1
105,4.834540033972684e-09,1.8358186483383179,rbsD,1
23,1.181336923639604e-09,-1.8315038681030273,bioA,1
251,1.59410844279977e-07,1.8288040161132812,dcuB,1
110,5.8090761962871274e-09,1.8228940963745117,yjiG,1
28,1.2708775218545033e-09,1.8110015392303467,ymgD,1
189,3.849933529304779e-08,1.8009815216064453,ydjX,1
95,4.509611066418203e-09,1.7914506196975708,rcsA,1
65,1.7013289976197763e-09,1.7902501821517944,flgI,1
133,1.0609012942497688e-08,1.774661898612976,wza,1
8,1.181336923639604e-09,1.7702373266220093,ycfJ,1
322,4.679071732460618e-07,1.7687979936599731,ydiL,1
136,1.0609012942497688e-08,1.7635771036148071,bdm,1
169,2.3828004648559798e-08,-1.7475913763046265,nrdF,1
89,4.509611066418203e-09,1.736148715019226,wzc,1
